Date,Season,Home Team,Away Team,1,X,2,HG,AG,Result,HW,HL,HGF,HGA,HGDW,HGDL,HW%,HD%,AW,AL,AGF,AGA,AGDW,AGDL,AW%,AD%
18/02/2023,2022,Mallorca,Villarreal,3.2,3.0,2.45,4,2,H,3,0,3,0,0,0,50,20,1,1,3,4,0,1,50,20
18/02/2023,2022,Betis,Valladolid,1.6,3.75,6.5,2,1,H,0,2,4,6,0,0,50,20,1,2,1,4,0,1,50,20
18/02/2023,2022,Sociedad,Celta,1.8,3.3,5.25,1,1,D,2,1,5,2,2,0,50,20,2,1,5,4,0,0,50,20
17/02/2023,2022,Girona,Almeria,1.8,3.75,4.33,6,2,H,2,1,3,2,0,0,45,27,0,1,3,5,0,1,45,27
15/02/2023,2022,Real Madrid,Elche,1.18,7.5,15.0,4,0,H,2,0,4,1,1,0,67,33,0,2,1,6,0,2,67,33
13/02/2023,2022,Espanol,Sociedad,3.5,3.0,2.3,2,3,A,1,0,4,3,0,0,20,40,2,0,4,0,2,0,20,40
12/02/2023,2022,Villarreal,Barcelona,3.75,4.0,1.85,0,1,A,2,1,3,2,0,0,67,11,3,0,4,1,0,0,67,11
12/02/2023,2022,Valladolid,Osasuna,2.75,3.1,2.7,0,0,D,1,2,1,3,0,1,50,10,0,0,2,2,0,0,50,10
12/02/2023,2022,Celta,Ath Madrid,3.6,3.1,2.2,0,1,A,1,0,3,2,0,0,30,40,1,1,2,2,0,0,30,40
12/02/2023,2022,Getafe,Vallecano,2.8,2.9,2.88,1,1,D,1,2,3,3,1,0,20,30,2,0,4,2,0,0,20,30
11/02/2023,2022,Valencia,Ath Bilbao,3.0,3.2,2.45,1,2,A,1,1,5,3,1,0,40,20,0,2,1,4,0,1,40,20
11/02/2023,2022,Sevilla,Mallorca,1.91,3.2,4.5,2,0,H,3,0,6,1,1,0,30,30,0,3,0,5,0,2,30,30
11/02/2023,2022,Almeria,Betis,2.8,3.4,2.5,2,3,A,1,1,4,4,1,1,60,10,2,1,3,2,0,0,60,10
10/02/2023,2022,Cadiz,Girona,3.0,3.2,2.45,2,0,H,1,0,4,2,1,0,20,50,1,1,4,4,0,0,20,50
